ObjectNumber	ObjectIDinMovie	LocationID	MovieID	Lure
ACLARINE5_50	02BostonOpenDoorRoom1_OACLARINE5_50	11	Practice	2
AREDROSE8	PracticeLure01	00	Practice	2
Ablackma3	12BostonRoom2View5_OAblackma3_150	26	Practice	2
Ascarf7_150	04BostonRoom1View2_OAscarf7_150	13	Practice	2
Ashovel8_150	03BostonRoom1View1_OAshovel8_150	11	Practice	2
Asoundmixer2_150	10BostonRoom2View3_OAsoundmixer2_150	16	Practice	2
Atropicalpine_150	12BostonRoom2View5_OAtropicalpine_150	25	Practice	2
Awindtoy5_150	05BostonRoom1View3_OAwindtoy5_150	14	Practice	2
D_exercisebike_150	09BostonRoom2View2_OD_exercisebike_150	26	Practice	2
cheesies_150	11BostonRoom2View4_Ocheesies_150	26	Practice	2
tricycle	03BostonRoom1View1_Otricycle_150	13	Practice	2
Object011	LureObject011	00	Lure	1
Object018	LureObject018	00	Lure	1
Object030	LureObject030	00	Lure	1
Object050	LureObject050	00	Lure	1
Object051	LureObject051	00	Lure	1
Object056	LureObject056	00	Lure	1
Object060	LureObject060	00	Lure	1
Object062	LureObject062	00	Lure	1
Object066	LureObject066	00	Lure	1
Object070	LureObject070	00	Lure	1
Object102	LureObject102	00	Lure	1
Object110	LureObject110	00	Lure	1
Object122	LureObject122	00	Lure	1
Object123	LureObject123	00	Lure	1
Object132	LureObject132	00	Lure	1
Object142	LureObject142	00	Lure	1
Object143	LureObject143	00	Lure	1
Object152	LureObject152	00	Lure	1
Object155	LureObject155	00	Lure	1
Object162	LureObject162	00	Lure	1
Object165	LureObject165	00	Lure	1
Object172	LureObject172	00	Lure	1
Object174	LureObject174	00	Lure	1
Object179	LureObject179	00	Lure	1
Object029	LureObject029	00	Lure	1
Object104	LureObject104	00	Lure	1
Object106	LureObject106	00	Lure	1
Object112	LureObject112	00	Lure	1
Object114	LureObject114	00	Lure	1
Object125	LureObject125	00	Lure	1
Object126	LureObject126	00	Lure	1
Object134	LureObject134	00	Lure	1
Object145	LureObject145	00	Lure	1
Object161	LureObject161	00	Lure	1
Object170	LureObject170	00	Lure	1
Object184	LureObject184	00	Lure	1
Object189	LureObject189	00	Lure	1
Object194	LureObject194	00	Lure	1
Object199	LureObject199	00	Lure	1
Object203	LureObject203	00	Lure	1
Object209	LureObject209	00	Lure	1
Object213	LureObject213	00	Lure	1
Object219	LureObject219	00	Lure	1
Object224	LureObject224	00	Lure	1
Object229	LureObject229	00	Lure	1
Object234	LureObject234	00	Lure	1
Object239	LureObject239	00	Lure	1
Object244	LureObject244	00	Lure	1
Object249	LureObject249	00	Lure	1
Object254	LureObject254	00	Lure	1
Object259	LureObject259	00	Lure	1
Object264	LureObject264	00	Lure	1
Object269	LureObject269	00	Lure	1
Object274	LureObject274	00	Lure	1
Object279	LureObject279	00	Lure	1
Object283	LureObject283	00	Lure	1
Object289	LureObject289	00	Lure	1
Object294	LureObject294	00	Lure	1
Object299	LureObject299	00	Lure	1
Object305	LureObject305	00	Lure	1
Object196	Gray9Object001	12	Gray9	0
Object175	Gray9Object002	13	Gray9	0
Object154	Gray9Object003	14	Gray9	0
Object226	Gray9Object004	18	Gray9	0
Object201	Gray9Object005	16	Gray9	0
Object297	Gray9Object006	21	Gray9	0
Object241	Gray9Object007	27	Gray9	0
Object284	Gray9Object008	28	Gray9	0
Object257	Gray9Object009	24	Gray9	0
